citation_key,title,year,primary_category,alignment_context,behavior_measured,prompt_format,evaluation_format,metric_type,role_in_review
christiano2017preferences,Deep reinforcement learning from human preferences,2017,Preference alignment,Human preference learning,Preference optimization,Not prompt-based,Reward-learning framework,Preference reward,Background on preference learning
ouyang2022rlhf,Training language models to follow instructions with human feedback,2022,Preference alignment,RLHF,Instruction following,Instruction-following prompt,Human preference evaluation,Win rate / reward model,Background on RLHF
stiennon2020learning,Learning to summarize with human feedback,2020,Preference alignment,RLHF,Preference optimization,Instruction-following prompt,Human preference evaluation,Reward score / preference score,Background on RLHF for text generation
ziegler2019fine,Fine-tuning language models from human preferences,2019,Preference alignment,RLHF,Preference optimization,Prompted text generation,Human preference evaluation,Reward model score,Background on preference fine-tuning
kaufmann2023survey,A survey of reinforcement learning from human feedback,2023,Preference alignment,RLHF survey,Preference optimization,Not prompt-based,Survey / theoretical analysis,Qualitative synthesis,Background on RLHF
casper2023open,Open problems and fundamental limitations of reinforcement learning from human feedback,2023,Preference alignment,RLHF limitations,Reward hacking / proxy failure,Not prompt-based,Conceptual / theoretical analysis,Qualitative case analysis,RLHF limitation evidence
wang2023aligning,Aligning large language models with human: A survey,2023,Preference alignment,Alignment survey,Preference optimization,Not prompt-based,Survey,Qualitative synthesis,Background on LLM alignment
ramamurthy2022reinforcement,Is reinforcement learning not for natural language processing,2022,Preference alignment,RL for NLP,Policy optimization,Text generation tasks,Benchmark / RL evaluation,Task metrics,Background on language policy optimization
lee2023rlaif,RLAIF: Scaling reinforcement learning from human feedback with AI feedback,2023,Preference alignment,RLAIF,Preference optimization,Instruction-following prompt,AI feedback evaluation,Preference / reward score,Background on AI feedback
dong2023raft,RAFT: Reward ranked finetuning for generative foundation model alignment,2023,Preference alignment,Reward-ranked fine-tuning,Preference optimization,Instruction-following prompt,Preference evaluation,Reward ranking,Background on ranking-based alignment
yuan2023rrhf,RRHF: Rank responses to align language models with human feedback without tears,2023,Preference alignment,Ranking-based feedback,Preference optimization,Instruction-following prompt,Preference evaluation,Ranking loss / preference score,Background on ranking-based alignment
touvron2023llama,Llama 2: Open foundation and fine-tuned chat models,2023,Preference alignment,RLHF / chat alignment,Helpful and safe response behavior,Instruction-following prompt,Human and benchmark evaluation,Helpfulness / safety metrics,Background on aligned chat models
bai2022constitutional,Constitutional AI: Harmlessness from AI feedback,2022,Preference alignment,Constitutional AI / RLAIF,Harmlessness alignment,Instruction-following prompt,AI feedback evaluation,Preference / harmlessness score,Background on AI feedback
askell2021generalization,A general language assistant as a laboratory for alignment,2021,Preference alignment,Assistant alignment,General assistant behavior,Free-form conversation,Human evaluation,Preference score,Background on assistant alignment
rafailov2023dpo,Direct preference optimization: Your language model is secretly a reward model,2023,Preference alignment,DPO,Preference optimization,Preference-pair prompt,Preference optimization evaluation,Preference loss / win rate,Background on DPO
zhao2023slic,SLiC-HF: Sequence likelihood calibration with human feedback,2023,Preference alignment,SLiC-HF,Preference optimization,Preference-pair prompt,Preference evaluation,Win rate / preference score,Direct alignment method
ethayarajh2024kto,KTO: Model alignment as prospect theoretic optimization,2024,Preference alignment,KTO,Preference optimization,Preference-pair prompt,Preference evaluation,Utility / preference score,Direct alignment method
tunstall2023zephyr,Zephyr: Direct distillation of LM alignment,2023,Preference alignment,DPO / distillation,Instruction following,Instruction-following prompt,Benchmark and preference evaluation,Win rate / benchmark score,DPO-style aligned model background
song2023preference,Preference ranking optimization for human alignment,2024,Preference alignment,Preference ranking optimization,Preference optimization,Preference-pair prompt,Preference evaluation,Ranking / preference score,Direct alignment method
yuan2024self,Self-rewarding language models,2024,Preference alignment,Self-rewarding alignment,Reward seeking / self feedback,Instruction-following prompt,LLM-as-a-judge / preference evaluation,Judge score / win rate,Self-feedback alignment
liu2023statistical,Statistical rejection sampling improves preference optimization,2023,Preference alignment,Preference optimization,Preference optimization,Preference-pair prompt,Preference evaluation,Preference score,Direct alignment method
hejna2023contrastive,Contrastive preference learning: Learning from human feedback without RL,2023,Preference alignment,Contrastive preference learning,Preference optimization,Preference-pair prompt,Preference evaluation,Preference score,Direct alignment method
pal2024smaug,Smaug: Fixing failure modes of preference optimisation with DPO-positive,2024,Preference alignment,DPO variant,Preference optimization failure,Preference-pair prompt,Preference evaluation,Win rate / benchmark score,DPO failure-mode discussion
perez2022discovering,Discovering language model behaviors with model-written evaluations,2023,Sycophancy behavior,Model evaluation,Opinion agreement,User-opinion prompt,Prompt-based evaluation,Agreement classification,Direct sycophancy evidence
wei2023simple,Simple synthetic data reduces sycophancy in large language models,2023,Sycophancy mitigation,Alignment evaluation,False agreement,Synthetic sycophancy prompt,Prompt-based evaluation,Agreement rate,Sycophancy mitigation evidence
sharma2023towards,Towards understanding sycophancy in language models,2023,Sycophancy behavior,Alignment evaluation,Opinion agreement,User-opinion prompt,Prompt-based evaluation,Agreement rate,User-belief agreement evidence
pan2023rewards,Do the rewards justify the means? Measuring trade-offs between rewards and ethical behavior in the Machiavelli benchmark,2023,Reward hacking,Reward modeling,Reward seeking / ethical trade-off,Benchmark scenario,Benchmark evaluation,Reward score / ethical behavior score,Reward-behavior trade-off evidence
korbak2023pretraining,Pretraining language models with human preferences,2023,Preference alignment,Preference-based pretraining,Preference optimization,Preference-pair prompt,Preference evaluation,Preference score,Preference training background
radhakrishnan2023answering,Question decomposition improves the faithfulness of model-generated reasoning,2023,Truthfulness / faithfulness,Reasoning evaluation,Faithfulness failure,Reasoning prompt,Free-form generation evaluation,Faithfulness score,Faithfulness evaluation context
park2023ai,AI deception: A survey of examples risks and potential solutions,2024,AI deception,Deception survey,Deception risk,Not prompt-based,Survey / qualitative analysis,Qualitative case analysis,Stronger deception-risk evidence
hubinger2024sleeper,Sleeper agents: Training deceptive LLMs that persist through safety training,2024,Deceptive behavior,Safety training / backdoor behavior,Persistent deceptive behavior,Trigger prompt,Adversarial / trigger evaluation,Backdoor success rate,Strong deception-risk evidence
zhang2024out,On the out-of-distribution generalization of multimodal large language models,2024,Generalization / robustness,OOD evaluation,Distribution-shift failure,Benchmark scenario,Benchmark evaluation,Accuracy / robustness score,OOD robustness background
perez2023red,Red teaming language models with language models,2022,Red teaming,Adversarial evaluation,Failure discovery,Red-teaming prompt,Red-teaming / adversarial prompting,Qualitative case analysis,Red-team evaluation evidence
